Questions,Option_1,Option_2,Option_3,Option_4,Answer,Explaination,Subject,Series
Which application of NLP helps to provide an overview of a news item or blog post ? It also avoid s redundancy from multiple sources and maximi ses the diversity of content obtained .,Virtual Assistants,Sentiment Analysis,Text Classification,Automatic Summarization,Automatic Summarization,"For the AI concept “Which application of NLP helps to provide”, the correct choice is Automatic Summarization.",Artificial Intelligence,GE1FH
Which of the following is not a step to build self - motivation?,Focusing on your goal.,Planning to achieve your goal.,Being indisciplined.,Finding out your strength.,Being indisciplined.,"For the AI concept “Which of the following is not a”, the correct choice is Being indisciplined..",Artificial Intelligence,GE1FH
"Ajay, a computer engineer, generally uses his laptop to remotely access customers’ computers in order to diagnose problems in their computer. Which protocol is being used for this purpose?",FTP,SMS,SMTP,TELNET,TELNET,The named network function is performed by TELNET.,Computer Applications,2KNLM
"In the POP3 protocol, what does the number “3” signify?",It represents three computers involved,It stands for the year 2003,It refers to three main servers used in email delivery,It indicates the third version of the Post Office Protocol,It indicates the third version of the Post Office Protocol,The named network function is performed by It indicates the third version of the Post Office Protocol.,Computer Applications,2KNLM
What is Internet?,A type of computer software,A global network of interconnected computer networks,A local area network in a school,A type of computer hardware,A global network of interconnected computer networks,The named network function is performed by A global network of interconnected computer networks.,Computer Applications,2KNLM
What is the primary purpose of the TCP/IP?,To manage web pages,To store emails on the server,To define how data is transmitted over the Internet,To secure websites using encryption,To define how data is transmitted over the Internet,"For the computing task “What is the primary purpose of the”, the correct choice is To define how data is transmitted over the Internet.",Computer Applications,2KNLM
What is World Wide Web?,A network hardware,Software to manage data,System of interlinked webpages,Web server,System of interlinked webpages,"For the computing task “What is World Wide Web”, the correct choice is System of interlinked webpages.",Computer Applications,2KNLM
Which heading tag represents the smallest heading size in HTML?,<h1>,<h3>,<h5>,<h6>,<h6>,HTML defines <h6> as the matching choice here.,Computer Applications,2KNLM
Which of the following is not a valid type of list in HTML?,Description list,Ordered list,Detail list,Unordered list,Detail list,HTML defines Detail list as the matching choice here.,Computer Applications,2KNLM
"A website or online platform where individuals or groups regularly publish written content, typically in a reverse chronological order is known as",News Group,Blog,Chat Group,Social Networking,Blog,"For the computing task “A website or online platform where individuals”, the correct choice is Blog.",Computer Applications,C3ABD/1
The default color of vlink is _________ .,Green,Purple,Blue,Yellow,Purple,"For the computing task “The default color of vlink is”, the correct choice is Purple.",Computer Applications,C3ABD/1
"The letter S in the abbreviation HTTPS in context of Networking protocols, stands for",Single,Static,Secure,Sensitive,Secure,The named network function is performed by Secure.,Computer Applications,C3ABD/1
Which of the following is not a Web Service?,Using Diksha learning portal,Sending and receiving email,File transfer over Bluetooth,Using a banking portal for online transaction,File transfer over Bluetooth,"For the computing task “Which of the following is not a”, the correct choice is File transfer over Bluetooth.",Computer Applications,C3ABD/1
Which of the following is not an attribute of the <font> tag?,face,height,size,color,height,HTML defines height as the matching choice here.,Computer Applications,C3ABD/1
Which of the following is not an example of an Open Source Software?,Linux,Android,Photoshop,OpenOffice,Photoshop,"For the computing task “Which of the following is not an”, the correct choice is Photoshop.",Computer Applications,C3ABD/1
Which of the following tags is not used while creating a description list?,<dt>,<dl>,<td>,<dd>,<td>,HTML defines <td> as the matching choice here.,Computer Applications,C3ABD/1
A web server is _____________.,A program that downloads files,A type of web browser,A protocol used for secure communication,A computer that stores and delivers web pages,A computer that stores and delivers web pages,"For the computing task “A web server is”, the correct choice is A computer that stores and delivers web pages.",Computer Applications,EFGH/S
What does the ' https ' in a web address indicate?,The website is hosted on a local server,The website is a search engine,The website uses standard HTTP protocol,The website is secure using encryption,The website is secure using encryption,"For the computing task “What does the https in a web”, the correct choice is The website is secure using encryption.",Computer Applications,EFGH/S
What is the expanded form of TCP in TCP/IP?,Transmission Control Protocol,Transmission Central Protocol,Transfer Control Protocol,Transport Central Protocol,Transmission Control Protocol,"For the computing task “What is the expanded form of TCP”, the correct choice is Transmission Control Protocol.",Computer Applications,EFGH/S
What is the meaning of downloading a file?,Transferring files to a remote server from our local device,Copying files from a remote server to our local device,Watching videos online,Modifying files on a remote server,Copying files from a remote server to our local device,"For the computing task “What is the meaning of downloading a”, the correct choice is Copying files from a remote server to our local device.",Computer Applications,EFGH/S
What is the primary function of a web browser?,To create web pages,To display the content of World Wide Web,To manage web pages,For secure data transmission • • •,To display the content of World Wide Web,"For the computing task “What is the primary function of a”, the correct choice is To display the content of World Wide Web.",Computer Applications,EFGH/S
Which attribute of the <body> tag is used to set the background color of a web page?,text,bgcolor,background,color,bgcolor,HTML defines bgcolor as the matching choice here.,Computer Applications,EFGH/S
Which of the following is a service for real - time text communication on the internet?,e - Learning,FTP,Video conferencing,Chat,Chat,The named network function is performed by Chat.,Computer Applications,EFGH/S
Which of the following protocol is used for secure remote login?,FTP,HTTPS,TELNET,HTTP,TELNET,The named network function is performed by TELNET.,Computer Applications,EFGH/S
Which tag is used to create a line break in an HTML document?,<lb>,<break>,<br>,<newline>,<br>,HTML defines <br> as the matching choice here.,Computer Applications,EFGH/S
Arun is sending an e-mail to his office. Which protocol out of the following options will be used for the purpose?,FTP,HTTP,SMTP,SCP,SMTP,The named network function is performed by SMTP.,Computer Applications,GE1FH
"Select the correct option to fill in the blank : 1 A ___________ is an online platform or website where individuals or businesses regularly publish articles/journals, known as posts, on various topics.",Brower,Blog,News Group,Web Server,Blog,"For the computing task “Select the correct option to fill in”, the correct choice is Blog.",Computer Applications,GE1FH
The default value for the type attribute of an Unordered List in HTML is:,circle,disc,square,triangle,disc,HTML defines disc as the matching choice here.,Computer Applications,GE1FH
What is the full form of FTP?,File Transfer Protocol,File Transmission Protocol,Fast Transfer Protocol,Fast Transmission Protocol • • •,File Transfer Protocol,"For the computing task “What is the full form of FTP”, the correct choice is File Transfer Protocol.",Computer Applications,GE1FH
Which of the following attributes is not a valid attribute of the <font> tag in HTML?,face,type,size,color,type,HTML defines type as the matching choice here.,Computer Applications,GE1FH
Which of the following is not an e-Reservation portal in India?,https://www.amazon.in,https://www.yatra.com,https://www.makemytrip.com,https://www.irctc.co.in,https://www.amazon.in,"For the computing task “Which of the following is not an”, the correct choice is https://www.amazon.in.",Computer Applications,GE1FH
Which of the following options is a network protocol that enables secure and encrypted file transfers between a client and a server?,SFTP,Telnet,SCP,HTTP,SFTP,The named network function is performed by SFTP.,Computer Applications,GE1FH
SFTP is used for,Sending Files over the Internet in a secure manner,Sending Mail over the Internet in a secure manner,Video Conferencing,Secure Chat Services,Sending Files over the Internet in a secure manner,"For the computing task “SFTP is used for”, the correct choice is Sending Files over the Internet in a secure manner.",Computer Applications,WYZXW
Suhani asks her colleague for her project work and then copies the entire work and submits it to her team leader claiming it to be her own work. The act performed by Suhani is known as ____________ .,Phishing,Plagiarism,Spamming,Virus,Plagiarism,"For the computing task “Suhani asks her colleague for her project”, the correct choice is Plagiarism.",Computer Applications,WYZXW
The protocol that is used to send e-mails is __________ .,HTTP,POP,SMTP,FTP,SMTP,The named network function is performed by SMTP.,Computer Applications,WYZXW
Which of the following is an e-Shopping portal?,Diksha,Swayam,Flipkart,NPTEL,Flipkart,"For the computing task “Which of the following is an e”, the correct choice is Flipkart.",Computer Applications,WYZXW
Which of the following is not an e-Governance portal?,e-Aadhaar,DigiLocker,Sarathi,Zomato,Zomato,"For the computing task “Which of the following is not an”, the correct choice is Zomato.",Computer Applications,WYZXW
Which of the following is the correct expansion of SMS?,Small Message Service,Small Multimedia Service,Short Multimedia Service,Short Message Service,Short Message Service,"For the computing task “Which of the following is the correct”, the correct choice is Short Message Service.",Computer Applications,WYZXW
Which of the following options is an INVALID attribute of <font> tag in HTML?,face,width,size,color,width,HTML defines width as the matching choice here.,Computer Applications,WYZXW
Which of the following is not an attribute of the HTML <font> tag?,face,width,size,color,width,HTML defines width as the matching choice here.,Computer Applications,WYZXW/C
HCF of two consecutive natural numbers is,2,1,0,smaller number,2,Prime factorisation of the stated numbers gives 2.,Mathematics,4MNKL
"The distance between the points (– 5, 1) and (2, 2) is",2 5 units,10 units,5 2 units,3 2 units,3 2 units,The coordinate formula for “The distance between the points 5 1” gives 3 2 units.,Mathematics,4MNKL
A card is drawn from a well shuffled deck of 52 cards. The probability that it is not a diamond card is,1 4,0,1 2,3 4,1 2,Favourable outcomes divided by all equally likely outcomes gives 1 2.,Mathematics,4MNKL
"The distance between the points (– 1, 22) and (2, 2) is",5 units,11 units,13 units,7 units,13 units,The coordinate formula for “The distance between the points 1 22” gives 13 units.,Mathematics,4MNKL
Its common difference is,2,2n,1,2 +,1,Substituting the given values for “Its common difference is” gives 1.,Mathematics,4MNKL
"When sin A = 3 1, the value of cot A is",3 22,2 2,22,3,3,Using the standard trigonometric identity gives 3.,Mathematics,4MNKL
"A circle centred at (–1, 2) passes through the point (0, 3). Radius of the circle is",2 2,2,26,1,26,The relevant circle measure for “A circle centred at 1 2 passes” is 26.,Mathematics,4MNKL
"ABCD is a parallelogram such that AF = 7 cm, FB = 3 cm and EF = 4 cm, length FD = equals",4 21 cm,3 28 cm,7 12 cm,5.5 cm,3 28 cm,Substituting the given values for “ABCD is a parallelogram such that AF” gives 3 28 cm.,Mathematics,4MNKL
"In an A.P., a = –3 and S17 = 357. The value of a17 is",47,39,45,42,39,Applying the arithmetic-progression relation gives 39.,Mathematics,4MNKL
"From an external point P, a tangent PT has been drawn to a circle with centre at O and radius 3 cm, intersecting its concentric circle at A and B. If AB = 8 cm and OA = AP, the length PQ equals.",8 cm,10 cm,9 cm,12 cm,10 cm,Favourable outcomes divided by all equally likely outcomes gives 10 cm.,Mathematics,4MNKL
"The value of k for which the system of linear equations kx – y – 2 = 0 and 6x – 2y – 3 = 0 has infinitely many solutions, is (does)",2,3,4,Not exist,3,Substituting the given values for “The value of k for which the” gives 3.,Mathematics,4MNKL
"Two dice are rolled together. The probability that sum of the numbers obtained is atmost 12, is",1,0,2,36 35,2,Favourable outcomes divided by all equally likely outcomes gives 2.,Mathematics,4MNKL
"The probability of getting sum greater than 10, when two dice are rolled together, is",9,18,12,1,9,Favourable outcomes divided by all equally likely outcomes gives 9.,Mathematics,5LMKN
Which of the following statements is not always true?,Two circles are similar.,Two isosceles right triangles are similar.,Two rectangles are similar.,Two equilateral triangles are similar.,Two circles are similar.,Substituting the given values for “Which of the following statements is not” gives Two circles are similar..,Mathematics,5LMKN
"The distance between the points (–4, 5) and (–1, 2) is",5,3 2,6,2 3,3 2,The coordinate formula for “The distance between the points 4 5” gives 3 2.,Mathematics,5LMKN
"A bag contains some red and some white balls. A ball is drawn at random from the bag. If the probability of getting a red ball is 7 2, then the probability of getting a white ball is",14,7 5,7,7 2,14,Favourable outcomes divided by all equally likely outcomes gives 14.,Mathematics,5LMKN
"The distance between the points (–2, 5) and (5, –2) is",7 2,14,2 7,7,7 2,The coordinate formula for “The distance between the points 2 5” gives 7 2.,Mathematics,5LMKN
The graph of a polynomial p(x) is shown here. The number of zeroes of the polynomial p(x) is,5,1,0,4,5,Substituting the given values for “The graph of a polynomial p x” gives 5.,Mathematics,5LMKN
The length of a pendulum is 70 cm and it describes an arc of length 88 cm when swings. The angle subtended by the arc at the centre is,36º,70º,72º,80º,36º,The relevant circle measure for “The length of a pendulum is 70” is 36º.,Mathematics,5LMKN
The roots of the quadratic equation x2 + 9 = 0 are,real and equal,not real,real and negative of each other,rational numbers,real and equal,Substituting the given values for “The roots of the quadratic equation x2” gives real and equal.,Mathematics,5LMKN
"The total surface area of a solid cone of radius 7 cm and slant height 25 cm, is",724 cm 2,704 cm 2,550 cm 2,616 cm 2,704 cm 2,The stated mensuration formula evaluates to 704 cm 2.,Mathematics,5LMKN
Three coins are tossed together. The probability of getting exactly two tails is,8 2,2,8 3,1,2,Favourable outcomes divided by all equally likely outcomes gives 2.,Mathematics,5LMKN
A card is drawn at random from a well shuffled deck of 52 playing cards. The probability that it is either a ten or a king is,1 26,2 13,1 13,8 26,1 13,Favourable outcomes divided by all equally likely outcomes gives 1 13.,Mathematics,5LMKN
"If a n represents nth term of the A.P.– 15 4, – 10 4, – 5 4, …… then value of a16 – a12 is",4,5 4,5,25 4,5,Applying the arithmetic-progression relation gives 5.,Mathematics,5LMKN
"The value of p for which roots of the quadratic equation x2 – px + 6 = 0 are rational, is",1,–5,25,5,5,Substituting the given values for “The value of p for which roots” gives 5.,Mathematics,5LMKN
"In the given figure, AB || EF. If AB = 24 cm, EF = 36 cm and DA = 7 cm, then AE equals",2.5 cm,10.5 cm,3.5 cm,14 3 cm,10.5 cm,Substituting the given values for “In the given figure AB EF If” gives 10.5 cm.,Mathematics,5LMKN
"PQ is tangent to a circle with centre O. If OQ = a, OP = a + 2 and PQ = 2b, then relation between a and b is",a2 + (a + 2)2 = (2b)2,b 2 = a + 4,2a 2 + 1 = b2,b 2 = a +,2a 2 + 1 = b2,The relevant circle measure for “PQ is tangent to a circle with” is 2a 2 + 1 = b2.,Mathematics,5LMKN
"The value of m for which the quadratic equation 3x2 – 7x + m = 0 has real and equal roots, is",7,49 12,49 3,4,4,Substituting the given values for “The value of m for which the” gives 4.,Mathematics,5LMKN
"For what value of k, the product of zeroes of the polynomial kx2",14 7,2 7,2 2,"7 In an A.P., if a — 8 and q o =—19, then value of d is : 11 (b) 9 27 (c) 10 The mid-point of the line segment joining the points (—1",14 7,Substituting the given values for “For what value of k the product” gives 14 7.,Mathematics,C3ABD/1
A lamp post 9 m high casts a shadow 3 3 m long on the ground. The S un’s elevation at this moment is,60 °,90 °,45 °,30 °,45 °,Substituting the given values for “A lamp post 9 m high casts” gives 45 °.,Mathematics,C4ABD/4
"In a circle of radius 21 cm, if an arc subtends an angle of 60° at the centre of the circle, then the length of the arc is",11 cm,44 cm,7 22 cm,22 cm,11 cm,The relevant circle measure for “In a circle of radius 21 cm” is 11 cm.,Mathematics,C4ABD/4
The median group in the following frequency distribution is : Class 0 – 10 10 – 20 20 – 30 30 – 40 40 – 50 50 – 60 Frequency 5 8 20 15 7 5,10 – 20,20 – 30,30 – 40,40 – 50,40 – 50,Substituting the given data in the statistics formula gives 40 – 50.,Mathematics,C4ABD/4
Area of a sector of angle q (in degrees) of a circle with radius r is,180 q ´ 2 p r,180 q ´ p r 2,360 q ´ 2 p r,720 q ´ 2 p r 2,720 q ´ 2 p r 2,The relevant circle measure for “Area of a sector of angle q” is 720 q ´ 2 p r 2.,Mathematics,C4ABD/4
"If 2800 = 2 x ´ 5 y ´ 7, then the value of (x + y) is",5,4,8,6,6,Substituting the given values for “If 2800 2 x 5 y 7” gives 6.,Mathematics,C4ABD/4
"The distance of the point (4, 5) from x - axis is",5,4,9,1,9,The coordinate formula for “The distance of the point 4 5” gives 9.,Mathematics,C4ABD/4
The root(s) of the quadratic equation x 2 – 25 = 0 is/are,5,"– 5, 5",25,"– 25, 25","– 5, 5","Substituting the given values for “The root s of the quadratic equation” gives – 5, 5.",Mathematics,C4ABD/4
A fair die is thrown once. The probability of getting a composite number less than 5 is,3,3 2,0,6,6,Favourable outcomes divided by all equally likely outcomes gives 6.,Mathematics,C4ABD/4
"If 5 tan A = 3, then the value of cot A is",5 3,3 5,4 3,5 4,3 5,Using the standard trigonometric identity gives 3 5.,Mathematics,C4ABD/4
The area of the sector of a circle with radius 6 cm which subtends an angle of 60° at the centre of the circle is,7 142 cm 2,7 152 cm 2,7 132 cm 2,7 122 cm 2,7 152 cm 2,The relevant circle measure for “The area of the sector of a” is 7 152 cm 2.,Mathematics,C4ABD/4
The following distribution gives the daily income of 50 workers of a factory : Income (in < ) 400 – 424 425 – 449 450 – 474 475 – 499 500 – 5 24 Number of workers 12 14 8 6 10 The lower limit of the modal class is,425,449,424·5,425·5,425·5,Substituting the given values for “The following distribution gives the daily income” gives 425·5.,Mathematics,C4ABD/4
"What should be added to the polynomial x 2 – 5x + 4, so that 3 is a zero of the resulting polynomial?",1,2,4,5,1,Substituting the given values for “What should be added to the polynomial” gives 1.,Mathematics,C4ABD/4
A die is rolled once. What is the probability of getting an odd prime number?,6,3,3 2,4 3,3 2,Favourable outcomes divided by all equally likely outcomes gives 3 2.,Mathematics,C5ABD/5
"If the area of a sector of a circle is 8 1 of the area of the circle, then the central angle of the sector is",30 °,45 °,60 °,90 °,30 °,The relevant circle measure for “If the area of a sector of” is 30 °.,Mathematics,C5ABD/5
"If the mean and mode of a frequency distribution are 28 and 16 respectively, then its median is",22,23·5,24,24·5,24·5,Substituting the given data in the statistics formula gives 24·5.,Mathematics,C5ABD/5
"If x is a whole number, then 8 x ends with an even di git, except for which value of x?",6,4,2,0,0,Substituting the given values for “If x is a whole number then” gives 0.,Mathematics,C5ABD/5
"The length of an arc of a circle wi th radius 12 cm is 10 π cm. The central angle subtended by this arc at the centre, is",120 °,6 °,75 °,150 °,150 °,The relevant circle measure for “The length of an arc of a” is 150 °.,Mathematics,C5ABD/5
A bag ha s 4 red balls and 2 yellow balls. A ball is drawn at random from the bag without looking into the bag. What is the probability of getting a yellow ball?,6,3 2,3,1,3 2,Favourable outcomes divided by all equally likely outcomes gives 3 2.,Mathematics,C5ABD/5
"If sin 2 q = 2 1 , then the value of tan 2 q is",3,3,0,1,3,Using the standard trigonometric identity gives 3.,Mathematics,C5ABD/5
"If the difference of mode and median of a data is 24, then the difference of median and mean of the same data is",8,12,24,34,8,Substituting the given data in the statistics formula gives 8.,Mathematics,C5ABD/5
"The area of a quadrant of a circle whose circumference is 22 cm, is",4 11 cm 2,2 11 cm 2,4 33 cm 2,8 77 cm 2,8 77 cm 2,The relevant circle measure for “The area of a quadrant of a” is 8 77 cm 2.,Mathematics,C5ABD/5
"A lamp post 15 m high, casts a shadow 5 3 m long on the ground. The Sun’s elevation at this moment is",90 °,60 °,45 °,30 ° 1 5 - 6,90 °,Substituting the given values for “A lamp post 15 m high casts” gives 90 °.,Mathematics,C5ABD/5
A letter is chosen at random from the word ‘MATHEMATICS’. What is the probability that it will be a ‘vowel’?,11 3,11 4,11 5,"11 7 Q uestions number 1 9 and 20 are Assertion and Reason based questions. Two statements are given , one labelled as Assertio n (A) and the other is labelled as Reason (R). Select the correct answer to the se questions from the codes",11 5,Favourable outcomes divided by all equally likely outcomes gives 11 5.,Mathematics,C5ABD/5
"AP and AQ are tangents drawn from an external point A to a circle with centre O and inclined to each other at an angle of 90 ° . If the length of each tangent is 2 cm, then t he radius of the circle is",4 cm,2 cm,2 2 cm,1 cm,2 2 cm,Favourable outcomes divided by all equally likely outcomes gives 2 2 cm.,Mathematics,C5ABD/5
"If x = 4 sin q , y = 4 cos q , then the value of (x 2 + y 2 ) is",4,4,16,16,16,Using the standard trigonometric identity gives 16.,Mathematics,C5ABD/5
"Th e area of a sector of a circle of radius 16 cm cut off by an arc, which is 18·5 cm long, is",168 cm 2,148 cm 2,154 cm 2,176 cm 2,154 cm 2,The relevant circle measure for “Th e area of a sector of” is 154 cm 2.,Mathematics,C5ABD/5
The lower limit of the class is,6,7,8,12 1 5 - 8,6,Substituting the given values for “The lower limit of the class is” gives 6.,Mathematics,C5ABD/5
"From an external point P, a tangent PA is drawn to a circle. The number of tangents through P parallel to PA is:",2,more than 2,1,0,0,Favourable outcomes divided by all equally likely outcomes gives 0.,Mathematics,CD1BA/3
"In the given figure, tangents PA and PB drawn from P to circle are inclined to each other at an angle of 80°. The measure of ∠ PAB is",80º,60º,50º,40º,50º,Favourable outcomes divided by all equally likely outcomes gives 50º.,Mathematics,CD1BA/3
"The common difference of an A.P. whose n th term is given by a n = 5n – 1, is:",1,6,5,4,5,Applying the arithmetic-progression relation gives 5.,Mathematics,CD1BA/3
"The distance between the points A(–1, 5) and B(6, –2) is:",2 7,7 2,49,14,49,The coordinate formula for “The distance between the points A 1” gives 49.,Mathematics,CD1BA/3
"A die is thrown once. The probability of getting a number l ess than 6, is:",0,6 5,6,1,1,Favourable outcomes divided by all equally likely outcomes gives 1.,Mathematics,CD1BA/3
"If sin A = 2 1 , then cot A is equal to",3,1,3,3 2,3 2,Using the standard trigonometric identity gives 3 2.,Mathematics,CD1BA/3
"If the volume of a sphere is 21 11 cm 3 , t he n the radius of the sphere is:",2 cm,4 cm,2 1 cm,4 1 cm,4 cm,The stated mensuration formula evaluates to 4 cm.,Mathematics,CD1BA/3
"The 30 th term of the A.P. – 3, – 7, – 11, ..... is:",113,– 117,– 119,– 120,113,Applying the arithmetic-progression relation gives 113.,Mathematics,CD1BA/3
"If in an A.P., a = 2 and S 10 = 335, then its 10 th term is:",55,65,68,58,65,Applying the arithmetic-progression relation gives 65.,Mathematics,CD1BA/3
2 tan 30° / (1 − tan² 30°) is equal to,cos 60°,sin 60°,tan 60°,sin 30°,tan 60°,Using the standard trigonometric identity gives tan 60°.,Mathematics,DA2AB/2
T he annual rainfall record of a city for 66 days is given in the following table : 1 Rainfall (in cm) : 0 – 10 10 – 20 20 – 30 30 – 40 40 – 50 50 – 60 Number of days : 22 10 8 15 5 6 The difference of upper limits of modal and median classes is,10,15,20,30,20,Substituting the given data in the statistics formula gives 20.,Mathematics,DA2AB/2
"The difference of the areas of a minor sector of angle 120 ° and its corresponding major sector of a circle of radius 21 cm, i s",231 cm²,462 cm²,346.5 cm²,693 cm²,462 cm²,The relevant circle measure for “The difference of the areas of a” is 462 cm².,Mathematics,DA2AB/2
The HCF of smallest 2 – digit number and the smallest composite n umb er is:,2,20,40,4,20,Prime factorisation of the stated numbers gives 20.,Mathematics,DA2AB/2
The total surface area of a solid h emisphere of radius 7 cm is:,98π cm²,147π cm²,196π cm²,228⅔π cm²,147π cm²,The stated mensuration formula evaluates to 147π cm².,Mathematics,DA2AB/2
"A p ole 7 3 m high casts a shadow 21 m long on the ground, then the sun’s elevation is:",30°,45°,60°,90°,45°,Substituting the given values for “A p ole 7 3 m high” gives 45°.,Mathematics,DA2AB/2
"If sin² θ = 3/4 and θ is acute, then θ is",30°,45°,60°,90°,60°,Using the standard trigonometric identity gives 60°.,Mathematics,DA2AB/2
"In the giv en figure, tangents PA and PB from a point P to a circle with centre O are inclined to each other at an angle of 80°. ∠ ABO is equal to",40°,80°,100°,50°,40°,The relevant circle measure for “In the giv en figure tangents PA” is 40°.,Mathematics,DA2AB/2
"The distance of the point (3, 4) from the origin is",25,5,7,1,25,The coordinate formula for “The distance of the point 3 4” gives 25.,Mathematics,DA2AB/2
A sin 1 A cot A cosec 2 2 2 - - is equal to,A sin 2,cos 2 A,sec 2 A,tan 2 A,tan 2 A,Using the standard trigonometric identity gives tan 2 A.,Mathematics,DA2AB/2
"If 5 cos A – 4 = 0, then the value of tan A is",4 3,3 4,5 3,5 4,4 3,Using the standard trigonometric identity gives 4 3.,Mathematics,DA2AB/2
